CBD,LAT,LON,THK,SRF
0,-77.875,166.9133,9999,9999
1,-77.875,166.913193,9999,9999
2,-77.875,166.912994,9999,9999
3,-77.875,166.912903,9999,9999
4,-77.875,166.912796,9999,9999
5,-77.876404,166.9133,9999,9999
6,-77.876404,166.913193,9999,9999
7,-77.876404,166.912994,9999,9999
8,-77.876404,166.912903,9999,9999
9,-77.876404,166.912796,9999,9999
10,-77.876297,166.912704,9999,9999
11,-77.876297,166.912598,9999,9999
12,-77.876297,166.908401,9999,9999
13,-77.876297,166.902802,9999,9999
14,-77.876297,166.902603,9999,9999
15,-77.876297,166.898407,9999,9999
16,-77.876297,166.894104,9999,9999
17,-77.877594,166.888504,9999,9999
18,-77.877594,166.888397,9999,9999
19,-77.877594,166.884201,9999,9999
20,-77.877594,166.879898,9999,9999
21,-77.878906,166.874298,9999,9999
22,-77.878906,166.874207,9999,9999
23,-77.878906,166.8741,9999,9999
24,-77.878906,166.873993,9999,9999
25,-77.878906,166.873795,9999,9999
26,-77.878906,166.873703,9999,9999
27,-77.877502,166.879105,9999,9999
28,-77.877502,166.907806,9999,9999
29,-77.876099,166.9599,9999,9999
30,-77.873306,167.020203,9999,9999
31,-77.873306,167.090103,9999,9999
32,-77.8815,167.154495,9999,9999
33,-77.895203,167.199707,9999,9999
34,-77.911697,167.210602,9999,9999
35,-77.929504,167.2146,9999,9999
36,-77.947403,167.213104,9999,9999
37,-77.963806,167.211594,9999,9999
38,-77.981705,167.218399,9999,9999
39,-78.0009,167.226501,9999,9999
40,-78.018707,167.231903,9999,9999
41,-78.035202,167.235794,9999,9999
42,-78.051605,167.244003,9999,9999
43,-78.070801,167.249298,9999,9999
44,-78.088699,167.253296,9999,9999
45,-78.105103,167.259995,9999,9999
46,-78.124405,167.262695,9999,9999
47,-78.139496,167.265305,9999,9999
48,-78.158707,167.263794,9999,9999
49,-78.173798,167.251297,9999,9999
50,-78.192993,167.230606,9999,9999
51,-78.208099,167.214005,9999,9999
52,-78.225906,167.189102,9999,9999
53,-78.245102,167.1698,9999,9999
54,-78.263,167.133896,9999,9999
55,-78.276703,167.089798,9999,9999
56,-78.291794,167.037506,9999,9999
57,-78.308197,166.983795,9999,9999
58,-78.321899,166.936996,9999,9999
59,-78.339798,166.891602,9999,9999
60,-78.354904,166.841995,9999,9999
61,-78.372696,166.789703,9999,9999
62,-78.390503,166.764801,9999,9999
63,-78.409698,166.774307,9999,9999
64,-78.427597,166.798904,9999,9999
65,-78.445404,166.826202,9999,9999
66,-78.463303,166.846695,9999,9999
67,-78.482498,166.857498,9999,9999
68,-78.500305,166.8629,9999,9999
69,-78.522202,166.866898,9999,9999
70,-78.541504,166.861206,9999,9999
71,-78.560699,166.862503,9999,9999
72,-78.578506,166.8582,9999,9999
73,-78.597702,166.8526,9999,9999
74,-78.616898,166.850998,9999,9999
75,-78.634796,166.848206,9999,9999
76,-78.655396,166.842499,9999,9999
77,-78.673203,166.8452,9999,9999
