CBD,LAT,LON,THK,SRF
0,-78.9769,-133.0882,2326,1134
1,-78.9756,-132.9676,2005,1096
2,-78.9886,-132.8773,2347,1069
3,-79.0078,-132.8308,2423,1116
4,-79.0291,-132.8372,2388,1112
5,-79.05029,-132.8546,2213,1142
6,-79.0688,-132.8671,2233,1125
7,-79.0894,-132.8714,1959,1121
8,-79.10789,-132.8771,2045,1087
9,-79.12849,-132.8814,2132,1062
10,-79.14771,-132.8857,2218,1084
11,-79.1683,-132.8839,2305,1044
12,-79.1868,-132.8752,2391,1081
13,-79.2067,-132.8809,2285,1065
14,-79.22591,-132.8838,2283,1044
15,-79.24719,-132.8868,2097,1036
16,-79.267,-132.887,1911,1044
17,-79.2869,-132.8982,1636,1016
18,-79.30611,-132.9101,1549,1055
19,-79.32739,-132.9138,1568,1014
20,-79.34731,-132.9098,1335,999
21,-79.3685,-132.908,1447,1001
22,-79.3877,-132.9055,1899,1001
23,-79.4097,-132.8995,1551,983
24,-79.431,-132.8956,1661,972
25,-79.44949,-132.8958,1593,979
26,-79.46941,-132.8899,1625,958
27,-79.4899,-132.8743,1708,946
28,-79.5098,-132.8615,1791,964
29,-79.5304,-132.8467,1874,982
30,-79.5517,-132.8394,1904,953
31,-79.5715,-132.8375,1935,963
32,-79.59351,-132.8494,2139,981
33,-79.6127,-132.8599,1894,959
34,-79.6326,-132.8717,1490,951
35,-79.65379,-132.8829,1356,956
36,-79.673,-132.8825,1239,930
37,-79.69231,-132.869,1309,937
38,-79.7135,-132.859,1340,922
39,-79.7341,-132.8462,1384,911
40,-79.75259,-132.8286,1334,929
41,-79.77251,-132.8158,1433,934
42,-79.791,-132.8017,1504,931
43,-79.80949,-132.7867,1390,923
44,-79.82809,-132.7794,1504,950
45,-79.84731,-132.7735,1435,934
46,-79.8678,-132.7744,1433,927
47,-79.8891,-132.7788,1447,923
48,-79.90829,-132.79,1600,919
49,-79.92821,-132.7889,1560,908
50,-79.9481,-132.7842,1546,928
51,-79.968,-132.7695,1874,931
52,-79.9879,-132.7636,1936,920
53,-80.0078,-132.7638,1861,905
54,-80.0276,-132.7722,1884,910
55,-80.0482,-132.7732,1424,900
56,-80.0681,-132.7762,1444,923
57,-80.0887,-132.7702,1483,950
58,-80.10789,-132.763,1640,951
59,-80.1292,-132.7502,1500,940
60,-80.1483,-132.7374,1337,924
61,-80.1689,-132.7329,1294,903
62,-80.1888,-132.7221,1451,887
63,-80.20731,-132.7237,1708,872
64,-80.22861,-132.7289,1676,883
65,-80.2471,-132.727,1775,873
66,-80.2663,-132.7253,1745,897
67,-80.28619,-132.7227,1702,890
68,-80.3054,-132.7182,1675,892
69,-80.3246,-132.7116,1807,879
70,-80.3445,-132.7119,1851,898
71,-80.36369,-132.7135,1922,889
72,-80.3822,-132.7096,1898,890
73,-80.4035,-132.7072,1816,881
74,-80.4213,-132.7005,1847,888
75,-80.4426,-132.696,1751,882
76,-80.4624,-132.6915,1646,887
77,-80.4823,-132.6814,1800,893
78,-80.5009,-132.6796,1654,887
79,-80.52139,-132.6683,1828,879
80,-80.5399,-132.6637,1620,875
81,-80.5598,-132.6579,1934,868
82,-80.5804,-132.6499,1903,861
83,-80.59959,-132.6454,1661,854
84,-80.61951,-132.6449,1435,839
85,-80.6394,-132.6418,1522,830
86,-80.6586,-132.6345,1560,829
87,-80.6792,-132.6198,1607,832
88,-80.69701,-132.6159,1668,819
89,-80.7169,-132.6073,1766,821
90,-80.7375,-132.5959,1779,819
91,-80.7581,-132.5928,1722,815
92,-80.77859,-132.5876,1723,809
93,-80.7979,-132.5831,1708,799
94,-80.81841,-132.5785,1593,792
95,-80.8383,-132.5782,1630,794
96,-80.8575,-132.5737,1545,791
97,-80.8774,-132.5663,1547,781
98,-80.89799,-132.5551,1549,779
99,-80.9165,-132.5526,1350,752
100,-80.9371,-132.5474,1490,748
101,-80.9556,-132.5402,1535,751
102,-80.9762,-132.535,1587,753
103,-80.99541,-132.5291,1500,751
104,-81.0166,-132.5261,1492,740
105,-81.0358,-132.5228,1466,724
106,-81.0544,-132.5095,1456,725
107,-81.07491,-132.496,1421,721
108,-81.0928,-132.4929,1396,739
109,-81.1133,-132.4871,1350,746
110,-81.1339,-132.4799,1355,745
111,-81.15379,-132.4761,1417,741
112,-81.173,-132.4784,1311,722
113,-81.1936,-132.4774,1690,716
114,-81.2121,-132.4722,1599,688
115,-81.23199,-132.4732,1508,702
